City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,hofn,64.2539,-15.2082,8.010000000000048,87,75,5.66,IS,1680705191
238,yar-sale,66.8333,70.8333,-12.609999999999957,95,73,3.53,RU,1680705192
239,rio gallegos,-51.6226,-69.2181,18.03000000000003,48,75,10.29,AR,1680705085
240,chara,56.9064,118.2631,-12.099999999999966,79,100,2.95,RU,1680705193
241,bonavista,48.6499,-53.1147,-0.9899999999999523,86,94,7.82,CA,1680705194
242,nisia floresta,-6.0911,-35.2086,26.450000000000045,62,94,4.72,BR,1680705195
243,nanakuli,21.3906,-158.1547,23.970000000000027,70,0,2.57,US,1680705195
244,san carlos de bariloche,-41.1456,-71.3082,13.860000000000014,41,75,4.63,AR,1680705029
245,turukhansk,65.8167,87.9833,-5.310000000000002,95,100,7.14,RU,1680705197
246,steamboat springs,40.485,-106.8317,-10.0,90,100,0.0,US,1680705198
247,manaure,11.7751,-72.4445,29.560000000000002,57,54,7.98,CO,1680705198
248,komsomolskiy,40.4272,71.7189,12.400000000000034,66,75,2.06,UZ,1680705199
249,hualmay,-11.0964,-77.6139,26.77000000000004,73,22,3.9,PE,1680705200
250,dhidhdhoo,6.8833,73.1,28.350000000000023,70,23,3.23,MV,1680705201
251,sao felix do xingu,-6.6447,-51.995,27.360000000000014,81,100,0.38,BR,1680705011
252,college,64.8569,-147.8028,-2.4499999999999886,90,100,2.57,US,1680705203
253,kruisfontein,-34.0033,24.7314,24.379999999999995,49,8,7.08,ZA,1680705203
254,la tuque,47.4334,-72.7824,-6.859999999999957,58,99,3.6,CA,1680705204
255,garoua,9.3,13.4,41.51000000000005,8,100,2.25,CM,1680705205
256,mahebourg,-20.4081,57.7,27.360000000000014,78,40,1.03,MU,1680705206
257,akdepe,42.0551,59.3788,16.05000000000001,37,99,3.61,TM,1680705207
258,soligalich,59.0778,42.2864,2.1299999999999955,88,100,3.67,RU,1680705208
259,zhigansk,66.7697,123.3711,-21.599999999999966,93,100,5.02,RU,1680705209
260,aktau,43.65,51.2,12.32000000000005,56,20,2.89,KZ,1680705210
261,vardo,70.3705,31.1107,0.9900000000000091,80,75,5.14,NO,1680705211
262,salta,-24.7859,-65.4117,21.99000000000001,77,75,1.79,AR,1680705211
263,victoria,22.2855,114.1577,27.03000000000003,92,32,0.45,HK,1680705040
264,lompoc,34.6391,-120.4579,7.550000000000011,80,20,6.71,US,1680705213
265,saskylakh,71.9167,114.0833,-19.92999999999998,89,100,5.71,RU,1680705213
266,caravelas,-17.7125,-39.2481,27.910000000000025,70,51,3.14,BR,1680705214
267,bontang,0.1333,117.5,26.620000000000005,79,100,1.16,ID,1680705215
268,atbasar,51.8,68.3333,8.110000000000014,50,7,3.53,KZ,1680705216
269,ipojuca,-8.3989,-35.0639,28.950000000000045,62,91,4.08,BR,1680705217
270,jiuquan,39.7432,98.5174,2.7800000000000296,24,0,2.73,CN,1680705217
271,acajutla,13.5928,-89.8275,29.920000000000016,54,1,1.43,SV,1680705218
272,aykino,62.2248,49.9922,-0.3100000000000023,86,24,3.97,RU,1680705219
273,zamora,-4.0692,-78.9567,22.58000000000004,68,98,1.88,EC,1680705179
274,uglich,57.5275,38.3317,6.480000000000018,76,96,4.18,RU,1680705220
275,jinji,23.2281,110.8261,22.04000000000002,93,66,2.01,CN,1680705221
276,kitimat,54.0524,-128.6534,2.730000000000018,30,99,1.68,CA,1680705035
277,pittsburg,38.028,-121.8847,6.7000000000000455,84,0,3.13,US,1680705033
278,mlalo,-4.9333,38.9333,28.060000000000002,64,67,3.74,TZ,1680705223
279,grand gaube,-20.0064,57.6608,27.430000000000007,66,22,2.9,MU,1680705223
280,lagoa,39.05,-27.9833,15.140000000000043,84,20,4.14,PT,1680705224
281,hervey bay,-25.2986,152.8535,23.450000000000045,73,1,3.75,AU,1680705225
282,safita,34.8205,36.1153,14.590000000000032,80,2,8.24,SY,1680705225
283,fernie,49.5,-115.0687,-6.6200000000000045,89,90,1.41,CA,1680705226
284,paamiut,61.994,-49.6678,-0.8599999999999568,70,75,2.28,GL,1680705227
285,qaqortoq,60.7167,-46.0333,0.12000000000000455,93,98,1.22,GL,1680705227
286,boa vista,2.8197,-60.6733,29.99000000000001,51,20,8.75,BR,1680705228
287,denpasar,-8.65,115.2167,26.810000000000002,94,20,0.51,ID,1680705128
288,sorkjosen,69.8,20.9333,5.0,65,75,3.6,NO,1680705229
289,mahajanga,-15.7167,46.3167,30.010000000000048,74,20,5.14,MG,1680705229
290,anzio,41.4853,12.6179,11.629999999999995,87,100,3.6,IT,1680705230
291,camana,-16.6228,-72.7111,25.29000000000002,75,0,3.13,PE,1680705231
292,mount gambier,-37.8333,140.7667,11.939999999999998,88,90,2.62,AU,1680705231
293,kaitangata,-46.2817,169.8464,10.520000000000039,48,63,7.35,NZ,1680705232
294,makubetsu,45.3714,141.8211,5.420000000000016,90,100,4.06,JP,1680705232
295,alekseyevsk,57.8406,108.3492,-18.559999999999974,99,48,1.44,RU,1680705233
296,port hardy,50.6996,-127.4199,7.0,65,40,5.66,CA,1680705234
297,jinchang,38.4953,102.1739,-0.3299999999999841,31,0,2.21,CN,1680705234
298,grand baie,-20.0182,57.5802,27.470000000000027,66,40,2.67,MU,1680705235
299,natal,-5.795,-35.2094,26.360000000000014,89,75,6.69,BR,1680705235
300,hambantota,6.1241,81.1185,28.189999999999998,94,20,1.03,LK,1680705236
301,porto walter,-8.2686,-72.7439,28.180000000000007,65,86,2.26,BR,1680705237
302,gizo,-8.103,156.8419,27.83000000000004,76,83,1.52,SB,1680705238
303,palana,59.1167,159.9667,-9.049999999999955,90,100,3.25,RU,1680705200
304,menongue,-14.6585,17.691,22.78000000000003,62,100,2.55,AO,1680705239
305,otradnoye,59.7775,30.8181,5.03000000000003,99,100,2.64,RU,1680705240
306,port huron,42.9709,-82.4249,17.79000000000002,87,100,5.14,US,1680705240
307,ayan,56.45,138.1667,-8.699999999999989,77,14,3.97,RU,1680705241
308,kuala lipis,4.1842,102.0468,23.460000000000036,92,87,0.59,MY,1680705242
309,penzance,50.1186,-5.5371,10.620000000000005,93,75,6.17,GB,1680704973
310,korla,41.7597,86.1469,6.890000000000043,15,1,3.11,CN,1680705243
311,zyryanka,65.75,150.85,-13.009999999999991,92,100,0.48,RU,1680705244
312,roma,43.2128,-75.4557,13.82000000000005,72,100,8.23,US,1680705003
313,presidencia roque saenz pena,-26.7852,-60.4388,19.670000000000016,94,100,1.65,AR,1680705245
314,caborca,30.5838,-111.101,10.560000000000002,13,94,1.96,MX,1680705246
315,biak,-0.9131,122.8766,24.920000000000016,84,100,1.65,ID,1680705247
316,ahipara,-35.1667,173.1667,13.420000000000016,86,100,1.89,NZ,1680705247
317,coihaique,-45.5752,-72.0662,12.340000000000032,100,100,3.6,CL,1680705154
318,gualeguay,-33.1416,-59.3097,19.670000000000016,75,100,4.69,AR,1680704995
319,saldanha,-33.0117,17.9442,32.03000000000003,63,21,5.35,ZA,1680705250
320,nan,18.8333,100.6667,27.650000000000034,29,0,0.41,TH,1680705250
321,carballo,43.213,-8.691,23.370000000000005,65,100,2.23,ES,1680705251
322,borba,-4.3878,-59.5939,31.439999999999998,55,70,1.71,BR,1680705252
323,ketchikan,55.3422,-131.6461,3.990000000000009,87,100,6.17,US,1680705253
324,pouembout,-21.1333,164.9,24.02000000000004,89,1,2.1,NC,1680705254
325,narsaq,60.9167,-46.05,1.1200000000000045,88,96,0.87,GL,1680705254
326,mnogovershinnyy,53.9353,139.9242,-6.769999999999982,82,9,1.77,RU,1680705255
327,tessalit,20.1986,1.0114,36.35000000000002,4,93,6.9,ML,1680705256
328,sabha,27.0377,14.4283,32.49000000000001,8,84,5.97,LY,1680705257
329,iqaluit,63.7506,-68.5145,-17.149999999999977,78,0,11.83,CA,1680705257
330,fare,-16.7,-151.0167,27.610000000000014,70,100,2.48,PF,1680705258
331,wanaka,-44.7,169.15,8.170000000000016,89,15,2.85,NZ,1680705259
